Entity,Code,Year,"Hospital beds (per 100,000)"
Afghanistan,AFG,1960,0.17063
Afghanistan,AFG,1970,0.199
Afghanistan,AFG,1981,0.2756
Afghanistan,AFG,1987,0.3091
Afghanistan,AFG,1990,0.2498
Afghanistan,AFG,2000,0.3
Afghanistan,AFG,2001,0.4
Afghanistan,AFG,2002,0.4
Afghanistan,AFG,2003,0.4
Afghanistan,AFG,2004,0.4
Afghanistan,AFG,2005,0.4
Afghanistan,AFG,2006,0.4
Afghanistan,AFG,2007,0.4
Afghanistan,AFG,2008,0.4
Afghanistan,AFG,2009,0.4
Afghanistan,AFG,2010,0.4
Afghanistan,AFG,2011,0.4
Afghanistan,AFG,2012,0.5
Afghanistan,AFG,2013,0.5
Afghanistan,AFG,2014,0.5
Afghanistan,AFG,2015,0.5
Albania,ALB,1960,5.10268
Albania,ALB,1980,4.2717
Albania,ALB,1981,4.1871
Albania,ALB,1982,4.1607
Albania,ALB,1983,4.0862
Albania,ALB,1984,4.139
Albania,ALB,1985,4.1388
Albania,ALB,1986,4.0697
Albania,ALB,1987,3.97
Albania,ALB,1988,3.9355
Albania,ALB,1989,4.1321
Albania,ALB,1990,4.0249
Albania,ALB,1991,3.9987
Albania,ALB,1992,4.0134
Albania,ALB,1993,3.8314
Albania,ALB,1994,3.0171
Albania,ALB,1995,3.19
Albania,ALB,1996,3.14
Albania,ALB,1997,3.05
Albania,ALB,1998,3.05
Albania,ALB,1999,3.03
Albania,ALB,2000,3.3
Albania,ALB,2001,3.3
Albania,ALB,2002,3.1
Albania,ALB,2003,3.1
Albania,ALB,2004,3
Albania,ALB,2005,3.1
Albania,ALB,2006,3.1
Albania,ALB,2007,3.1
Albania,ALB,2009,3.0077
Albania,ALB,2010,2.9893
Albania,ALB,2011,2.8824
Albania,ALB,2012,2.8844
Albania,ALB,2013,2.8897
Algeria,DZA,1960,3.18741
Algeria,DZA,1970,2.8425
Algeria,DZA,1986,2.4884
Algeria,DZA,1988,2.629
Algeria,DZA,1989,2.5644
Algeria,DZA,1990,2.4993
Algeria,DZA,1994,2.1032
Algeria,DZA,1998,2.1
Algeria,DZA,2004,1.7
Algeria,DZA,2015,1.9
Andorra,AND,1996,3.18
Andorra,AND,1997,3
Andorra,AND,1998,3.09
Andorra,AND,1999,3.2
Andorra,AND,2000,3.2
Andorra,AND,2001,2.59
Andorra,AND,2003,3.3
Andorra,AND,2005,2.7
Andorra,AND,2006,2.6
Andorra,AND,2007,2.6
Andorra,AND,2009,2.5
Angola,AGO,1960,2.06146
Angola,AGO,1970,2.721
Angola,AGO,1990,1.2913
Angola,AGO,2005,0.8
Antigua_and_Barbuda,ATG,1960,7.70642
Antigua_and_Barbuda,ATG,1970,6.53
Antigua_and_Barbuda,ATG,1990,6.6
Antigua_and_Barbuda,ATG,1993,6.1048
Antigua_and_Barbuda,ATG,1996,3.88
Antigua_and_Barbuda,ATG,2001,2.6
Antigua_and_Barbuda,ATG,2002,2.3
Antigua_and_Barbuda,ATG,2003,2.5
Antigua_and_Barbuda,ATG,2004,2.4
Antigua_and_Barbuda,ATG,2005,2.4
Antigua_and_Barbuda,ATG,2006,2.4
Antigua_and_Barbuda,ATG,2007,2
Antigua_and_Barbuda,ATG,2008,1.7
Antigua_and_Barbuda,ATG,2009,2.2
Antigua_and_Barbuda,ATG,2010,2.2
Antigua_and_Barbuda,ATG,2011,2.1
Antigua_and_Barbuda,ATG,2013,3.9
Antigua_and_Barbuda,ATG,2014,3.8
Arab World,,1960,1.9273
Arab World,,1970,1.91789
Arab World,,1975,1.58381
Arab World,,1981,1.70761
Arab World,,1990,1.79558
Arab World,,2000,1.59791
Arab World,,2001,1.63947
Arab World,,2002,1.5748
Arab World,,2003,1.57406
Arab World,,2004,1.61233
Arab World,,2005,1.63026
Arab World,,2006,1.65252
Arab World,,2007,1.62
Arab World,,2008,1.63606
Arab World,,2009,1.52885
Arab World,,2010,1.52952
Arab World,,2011,1.16022
Arab World,,2012,1.15838
Arab World,,2013,1.1519
Arab World,,2014,1.62452
Argentina,ARG,1960,6.35225
Argentina,ARG,1970,5.5858
Argentina,ARG,1990,4.5943
Argentina,ARG,1993,4.6
Argentina,ARG,1996,3.29
Argentina,ARG,2000,4.1
Argentina,ARG,2005,4
Argentina,ARG,2010,4.5
Argentina,ARG,2011,4.5
Argentina,ARG,2012,4.7
Argentina,ARG,2013,4.9
Argentina,ARG,2014,5
Armenia,ARM,1980,8.3954
Armenia,ARM,1981,8.5784
Armenia,ARM,1982,8.6828
Armenia,ARM,1983,8.5481
Armenia,ARM,1984,8.6601
Armenia,ARM,1985,8.6992
Armenia,ARM,1986,9.0242
Armenia,ARM,1987,8.9966
Armenia,ARM,1988,9.1904
Armenia,ARM,1989,9.0358
Armenia,ARM,1990,9.0948
Armenia,ARM,1991,8.5293
Armenia,ARM,1992,8.3677
Armenia,ARM,1993,8.2147
Armenia,ARM,1994,7.766
Armenia,ARM,1995,7.64
Armenia,ARM,1996,7.13
Armenia,ARM,1997,6.75
Armenia,ARM,1998,6.66
Armenia,ARM,1999,6.2
Armenia,ARM,2000,6.4
Armenia,ARM,2001,5
Armenia,ARM,2002,4.3
Armenia,ARM,2003,4.4
Armenia,ARM,2004,4.4
Armenia,ARM,2005,4.5
Armenia,ARM,2006,4.4
Armenia,ARM,2007,4.1
Armenia,ARM,2008,3.8
Armenia,ARM,2009,3.7
Armenia,ARM,2010,3.7
Armenia,ARM,2011,3.7
Armenia,ARM,2012,4
Armenia,ARM,2013,4.1
Armenia,ARM,2015,4.2
Australia,AUS,1960,11.2
Australia,AUS,1961,11.3
Australia,AUS,1962,11.4
Australia,AUS,1963,11.7
Australia,AUS,1964,11.8
Australia,AUS,1965,11.9
Australia,AUS,1966,11.8
Australia,AUS,1967,11.8
Australia,AUS,1968,11.8
Australia,AUS,1969,11.7
Australia,AUS,1970,11.7
Australia,AUS,1971,11.6
Australia,AUS,1972,11.8
Australia,AUS,1973,11.8
Australia,AUS,1974,12
Australia,AUS,1975,11.9
Australia,AUS,1976,11.9
Australia,AUS,1977,12.1
Australia,AUS,1978,12.1
Australia,AUS,1979,12.2
Australia,AUS,1980,12.3
Australia,AUS,1981,12.2
Australia,AUS,1982,12.1
Australia,AUS,1983,11.9
Australia,AUS,1984,11.7
Australia,AUS,1985,10.9
Australia,AUS,1987,10.5
Australia,AUS,1989,9.8
Australia,AUS,1991,9.2
Australia,AUS,1992,8.9
Australia,AUS,1993,8.9
Australia,AUS,1994,8.7
Australia,AUS,1995,8.7
Australia,AUS,1996,8.5
Australia,AUS,1997,8.3
Australia,AUS,1998,8.2
Australia,AUS,1999,7.9
Australia,AUS,2000,7.8
Australia,AUS,2001,7.6
Australia,AUS,2002,4
Australia,AUS,2004,3.9
Australia,AUS,2005,3.9
Australia,AUS,2006,3.93
Australia,AUS,2008,3.82
Australia,AUS,2009,3.77
Australia,AUS,2010,3.78
Australia,AUS,2011,3.79
Australia,AUS,2012,3.75
Australia,AUS,2013,3.74
Australia,AUS,2014,3.79
Australia,AUS,2015,3.82
Australia,AUS,2016,3.84
Austria,AUT,1960,10.8
Austria,AUT,1970,10.8
Austria,AUT,1980,11.2
Austria,AUT,1985,10.9
Austria,AUT,1986,10.8
Austria,AUT,1987,10.7
Austria,AUT,1988,10.6
Austria,AUT,1989,10.4
Austria,AUT,1990,10.2
Austria,AUT,1991,9.9
Austria,AUT,1992,9.7
Austria,AUT,1993,9.4
Austria,AUT,1994,9.5
Austria,AUT,1995,9.4
Austria,AUT,1996,9.3
Austria,AUT,1997,9.2
Austria,AUT,1998,9
Austria,AUT,1999,8.9
Austria,AUT,2000,7.9
Austria,AUT,2001,7.8
Austria,AUT,2002,7.8
Austria,AUT,2003,7.7
Austria,AUT,2004,7.7
Austria,AUT,2005,7.69
Austria,AUT,2006,7.66
Austria,AUT,2007,7.75
Austria,AUT,2008,7.69
Austria,AUT,2009,7.68
Austria,AUT,2010,7.65
Austria,AUT,2011,7.68
Austria,AUT,2012,7.67
Austria,AUT,2013,7.64
Austria,AUT,2014,7.58
Austria,AUT,2015,7.54
Austria,AUT,2016,7.42
Austria,AUT,2017,7.37
Azerbaijan,AZE,1980,9.7452
Azerbaijan,AZE,1985,9.8968
Azerbaijan,AZE,1986,9.8411
Azerbaijan,AZE,1987,9.8821
Azerbaijan,AZE,1988,9.9663
Azerbaijan,AZE,1989,10.2044
Azerbaijan,AZE,1990,10.0992
Azerbaijan,AZE,1991,10.0209
Azerbaijan,AZE,1992,10.5428
Azerbaijan,AZE,1993,10.4875
Azerbaijan,AZE,1994,10.0706
Azerbaijan,AZE,1995,10.02
Azerbaijan,AZE,1996,9.81
Azerbaijan,AZE,1997,9.61
Azerbaijan,AZE,1998,9.06
Azerbaijan,AZE,1999,8.9
Azerbaijan,AZE,2000,8.7
Azerbaijan,AZE,2001,8.5
Azerbaijan,AZE,2002,8.4
Azerbaijan,AZE,2003,8.3
Azerbaijan,AZE,2004,8.2
Azerbaijan,AZE,2005,8.2
Azerbaijan,AZE,2006,7.9
Azerbaijan,AZE,2007,7.9
Azerbaijan,AZE,2008,7.7
Azerbaijan,AZE,2009,7.5
Azerbaijan,AZE,2010,5.1
Azerbaijan,AZE,2011,4.6
Azerbaijan,AZE,2012,4.6
Azerbaijan,AZE,2013,4.7
Bahamas,BHS,1960,5.72566
Bahamas,BHS,1970,5.0936
Bahamas,BHS,1980,4.4048
Bahamas,BHS,1990,4
Bahamas,BHS,1993,3.8839
Bahamas,BHS,1995,3.6
Bahamas,BHS,1996,3.94
Bahamas,BHS,2000,3.5
Bahamas,BHS,2001,3.4
Bahamas,BHS,2002,3.4
Bahamas,BHS,2003,3.4
Bahamas,BHS,2004,3.4
Bahamas,BHS,2006,3.2
Bahamas,BHS,2007,3.2
Bahamas,BHS,2008,3.1
Bahamas,BHS,2009,3.2
Bahamas,BHS,2010,3.1
Bahamas,BHS,2011,2.9
Bahamas,BHS,2012,2.9
Bahamas,BHS,2013,2.9
Bahrain,BHR,1960,4.71141
Bahrain,BHR,1970,4.3429
Bahrain,BHR,1980,3.3144
Bahrain,BHR,1989,3.3395
Bahrain,BHR,1997,2.9
Bahrain,BHR,2000,2.8
Bahrain,BHR,2001,2.8
Bahrain,BHR,2002,2.9
Bahrain,BHR,2003,2.8
Bahrain,BHR,2004,2.8
Bahrain,BHR,2005,2.8
Bahrain,BHR,2006,2.7
Bahrain,BHR,2007,2.7
Bahrain,BHR,2008,2
Bahrain,BHR,2009,1.8
Bahrain,BHR,2010,1.8
Bahrain,BHR,2011,1.7
Bahrain,BHR,2012,2.1
Bahrain,BHR,2013,2.1
Bahrain,BHR,2014,2
Bangladesh,BGD,1970,0.1551
Bangladesh,BGD,1980,0.2158
Bangladesh,BGD,1981,0.2252
Bangladesh,BGD,1985,0.2878
Bangladesh,BGD,1990,0.3042
Bangladesh,BGD,1991,0.3081
Bangladesh,BGD,1994,0.3049
Bangladesh,BGD,1999,0.3
Bangladesh,BGD,2001,0.3
Bangladesh,BGD,2002,0.34
Bangladesh,BGD,2005,0.3
Bangladesh,BGD,2011,0.6
Bangladesh,BGD,2014,0.6
Bangladesh,BGD,2015,0.8
Barbados,BRB,1960,5.92978
Barbados,BRB,1970,10.2216
Barbados,BRB,1980,8.5347
Barbados,BRB,1990,8.4
Barbados,BRB,1993,1.2676
Barbados,BRB,1995,7.4
Barbados,BRB,1996,7.56
Barbados,BRB,2003,7.3
Barbados,BRB,2004,7.3
Barbados,BRB,2005,6.7
Barbados,BRB,2006,6.6
Barbados,BRB,2008,7.6
Barbados,BRB,2009,6.8
Barbados,BRB,2010,6.6
Barbados,BRB,2012,6.2
Barbados,BRB,2013,6.2
Barbados,BRB,2014,5.8
Belarus,BLR,1980,12.5461
Belarus,BLR,1985,13.0713
Belarus,BLR,1986,13.2605
Belarus,BLR,1987,13.4563
Belarus,BLR,1988,13.3729
Belarus,BLR,1989,13.5795
Belarus,BLR,1990,13.2264
Belarus,BLR,1991,13.2047
Belarus,BLR,1992,12.6907
Belarus,BLR,1993,12.4762
Belarus,BLR,1994,12.4639
Belarus,BLR,1995,12.38
Belarus,BLR,1996,12.27
Belarus,BLR,1997,12.36
Belarus,BLR,1998,12.42
Belarus,BLR,1999,12.64
Belarus,BLR,2000,12.6
Belarus,BLR,2001,12.6
Belarus,BLR,2002,11.9
